62217839;CONTACT LENSES;ACUVUE OASYS FOR ASTIGMATISM6 STÜCKUNISEX;LINSEN;J&J
62224046;CONTACT LENSES;SOFLENS TORIC6 STÜCKUNISEX;LINSEN;B&L
67407315;BICYCLES;227445  CITYRAD D 26 3G CITYRAD DAMEN 26+28 TUERKIS;112100__FASHION & SPORT_SPORT_SPORT HARTWAREN_SPORT- / CITY- / TOURINGRÄDER;
62226312;CONTACT LENSES;ACUVUE OASYS FOR ASTIGMATISM6 STÜCKUNISEX;LINSEN;J&J
62235514;CONTACT LENSES;SOFLENS TORIC6 STÜCKUNISEX;LINSEN;B&L
64748667;USB MEMORY;USB 3.0 S25 32G MORADO USB 3.0 S25 32G MORADO;MEMORIAS USB __ 32 GB;LEXAR
61028716;BICYCLES;TOPSY KINDERRAD 12 1/2 POLARWEISS O O O  419640;H006W0792344__WERKZEUG_AUTO/FAHRRAD_FAHRRAEDER;SI-ZWEIRAD-VERTRIEBS GMBH
37734138;BICYCLES;CREME ECHO SOLO 16-SPEED WHITE;FAHRRAEDER>>RENNRAEDER>>RENNRAEDER;CREME
17891755;CONTACT LENSES;ACUVUE 1-DAY MOIST TAGESLINSEN WEICH, 30 STUECK / BC 8.5 MM / DIA 14.2 / -1,50 DIOPTRIEN;HEALTH&PERSONALCARE__3100OPTICS__3101SPHERICCONTACTLENSES;JOHNSON & JOHNSON
42298563;BICYCLES;UNIVEGA TERRENO 1.0 HE MATTBLAUGRAU 45 CM;1_7_4;UNIVEGA
26300286;WASHINGMACHINES;LAVAMAT 63479 FL A+++ WASCHVOLLAUTOMAT;WASCHMASCHINEN;AEG